자치구,벚나무,LAT,LON
강동구,벚나무,37.5447981,127.1255203
강동구,벚나무,37.5470866,127.1265705
강동구,벚나무,37.5233843,127.1461057
강동구,벚나무,37.5593486,127.1435804
강동구,벚나무,37.5247514,127.1468059
강동구,벚나무,37.5261587,127.1465255
강동구,벚나무,37.5471383,127.1265876
강동구,벚나무,37.5465999,127.1263831
강동구,벚나무,37.5476391,127.1267674
강동구,벚나무,37.5263535,127.1453713
강동구,벚나무,37.5416058,127.1245918
강동구,벚나무,37.5259059,127.1475102
강동구,벚나무,37.519796,127.1448203
강동구,벚나무,37.5457886,127.1261024
강동구,벚나무,37.5470467,127.1265535
강동구,벚나무,37.5231982,127.146097
강동구,벚나무,37.5447218,127.1257105
강동구,벚나무,37.5475752,127.1267438
강동구,벚나무,37.5216868,127.1455563
강동구,벚나무,37.5203394,127.1450454
강동구,벚나무,37.5173943,127.1438464
강동구,벚나무,37.5192139,127.144586
강동구,벚나무,37.5238224,127.1464222
강동구,벚나무,37.5448736,127.1257669
강동구,벚나무,37.5281828,127.1481586
강동구,벚나무,37.5593456,127.1434845
강동구,벚나무,37.5326001,127.1502802
강동구,벚나무,37.5260809,127.1475833
강동구,벚나무,37.5259991,127.1471172
강동구,벚나무,37.5437856,127.1253801
강동구,벚나무,37.5428477,127.1248235
강동구,벚나무,37.5600523,127.1436262
강동구,벚나무,37.5239532,127.1467189
강동구,벚나무,37.5595621,127.1434731
강동구,벚나무,37.5605387,127.156221
강동구,벚나무,37.5246072,127.1467479
강동구,벚나무,37.5204697,127.1450949
강동구,벚나무,37.5435852,127.1253056
강동구,벚나무,37.5264585,127.1453984
강동구,벚나무,37.5409107,127.1243269
강동구,벚나무,37.5229991,127.1460614
강동구,벚나무,37.5205873,127.1451378
강동구,벚나무,37.5403828,127.1241162
강동구,벚나무,37.5212272,127.1453849
강동구,벚나무,37.5184643,127.1442969
강동구,벚나무,37.5467017,127.1262023
강동구,벚나무,37.544443,127.1253852
강동구,벚나무,37.5202718,127.1450189
강동구,벚나무,37.5235674,127.1465632
강동구,벚나무,37.5411586,127.1241757
강동구,벚나무,37.5261868,127.1476239
강동구,벚나무,37.5268364,127.1476304
강동구,벚나무,37.5266648,127.147824
강동구,벚나무,37.5263161,127.1459445
강동구,벚나무,37.528115,127.148131
강동구,벚나무,37.5407456,127.1242639
강동구,벚나무,37.5260634,127.1464742
강동구,벚나무,37.5394522,127.1237772
강동구,벚나무,37.5271139,127.147992
강동구,벚나무,37.5188872,127.144464
강동구,벚나무,37.5243002,127.1468664
강동구,벚나무,37.5262361,127.1476455
강동구,벚나무,37.5264311,127.1474654
강동구,벚나무,37.5256615,127.1474209
강동구,벚나무,37.5414608,127.1245434
강동구,벚나무,37.5249497,127.1468832
강동구,벚나무,37.5449083,127.125554
강동구,벚나무,37.5259841,127.1472007
강동구,벚나무,37.5420389,127.1245375
강동구,벚나무,37.5446181,127.1254548
강동구,벚나무,37.5437474,127.1251458
강동구,벚나무,37.5260461,127.1465522
강동구,벚나무,37.5445119,127.1256336
강동구,벚나무,37.5323468,127.150176
강동구,벚나무,37.5597277,127.1434735
강동구,벚나무,37.5443382,127.1255726
강동구,벚나무,37.5246989,127.1467866
강동구,벚나무,37.5600048,127.1434141
강동구,벚나무,37.5189447,127.1444838
강동구,벚나무,37.5209477,127.1452827
강동구,벚나무,37.525722,127.1471924
강동구,벚나무,37.5264715,127.1453338
강동구,벚나무,37.5261777,127.1460384
강동구,벚나무,37.52599,127.1467566
강동구,벚나무,37.5397978,127.1239074
강동구,벚나무,37.5263799,127.1476997
강동구,벚나무,37.5269521,127.1479268
강동구,벚나무,37.5232945,127.146108
강동구,벚나무,37.522821,127.1459804
강동구,벚나무,37.5271579,127.1480107
