"캠페인보고서(2021.10.01.~2021.12.31.),colosseumkr:naver",,,,,,,,,,,,,
캠페인유형,캠페인,광고그룹,소재,키워드,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,전환수,전환율(%),전환당비용(원)
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송관리,2,0,0,0,0,14,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송관리시스템,42,0,0,0,0,24.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송구매대행,11,0,0,0,0,2.7,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송대행,11,0,0,0,0,89.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송대행B2B,15,0,0,0,0,12.7,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송대행견적,392,0,0,0,0,8.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송대행도매,12,0,0,0,0,20.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송대행비용,714,0,0,0,0,14.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송대행사이트,274,0,0,0,0,23.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송대행서비스,425,0,0,0,0,21.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송대행신청,101,0,0,0,0,2.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송대행업체,1,1,100,88,88,43,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송대행지추천,16,0,0,0,0,7.7,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송대행추천,454,0,0,0,0,19.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송시스템,1,0,0,0,0,24,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송아웃소싱,341,0,0,0,0,4.2,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송업체,320,0,0,0,0,14.2,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배송위탁,3,0,0,0,0,18.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,보관,3,0,0,0,0,48.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,보관창고,3,0,0,0,0,85,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,보관창고비용,3,0,0,0,0,17,0,0,0
